道路编号	县区	乡	道路等级	速度
1	09县区	4乡	次干路	48.11720852
2	09县区	2乡	主干路	57.49159108
3	09县区	4乡	快速路	88.18905612
4	10县区	2乡	主干路	69.13737239
5	10县区	3乡	次干路	44.50082872
6	科技县	4乡	主干路	51.3656303
7	10县区	4乡	支路	26.018692
8	10县区	4乡	次干路	49.30770252
9	09县区	4乡	主干路	62.24413172
10	11县区	2乡	支路	24.13627185
11	科技县	4乡	次干路	33.71265635
12	09县区	4乡	快速路	117.032133
13	科技县	1乡	主干路	58.30849893
14	09县区	3乡	快速路	108.1073793
15	10县区	2乡	主干路	68.13276489
16	10县区	3乡	次干路	31.88840499
17	科技县	4乡	主干路	61.78111941
18	11县区	4乡	快速路	91.95125601
19	11县区	1乡	支路	21.04373196
20	09县区	2乡	次干路	37.63688976
21	科技县	2乡	次干路	38.00827709
22	11县区	3乡	主干路	60.22310286
23	10县区	2乡	支路	27.00789183
24	11县区	3乡	支路	28.79364458
25	11县区	1乡	快速路	108.5735288
26	09县区	4乡	支路	26.46470818
27	11县区	3乡	快速路	86.08271976
28	科技县	4乡	次干路	46.73922702
29	科技县	4乡	快速路	83.26359949
30	科技县	4乡	主干路	67.76895763
31	10县区	2乡	支路	21.37115995
32	11县区	3乡	快速路	92.85104078
33	10县区	3乡	快速路	86.29185033
34	10县区	3乡	快速路	106.1929234
35	科技县	3乡	主干路	55.82070721
36	09县区	1乡	快速路	89.42545877
37	09县区	1乡	快速路	109.1570739
38	科技县	4乡	主干路	56.50045911
39	09县区	3乡	快速路	80.55415209
40	11县区	4乡	主干路	50.71812164
41	09县区	3乡	主干路	60.61450535
42	科技县	4乡	次干路	33.99082527
43	10县区	1乡	支路	23.56330905
44	09县区	2乡	次干路	46.96323988
45	科技县	4乡	快速路	82.10411182
46	11县区	4乡	次干路	46.75440247
47	10县区	1乡	支路	23.63396049
48	科技县	3乡	主干路	53.04951939
49	10县区	4乡	主干路	73.15059696
50	科技县	3乡	支路	26.84298434
51	09县区	2乡	主干路	72.81723204
52	10县区	4乡	快速路	110.0035026
53	10县区	2乡	快速路	106.3118032
54	11县区	4乡	次干路	40.46113305
55	科技县	2乡	次干路	33.52244879
56	09县区	1乡	支路	24.81544162
57	科技县	1乡	次干路	41.67814183
58	11县区	2乡	主干路	56.74219471
59	10县区	4乡	次干路	39.11962079
60	10县区	4乡	主干路	79.0473165
61	11县区	1乡	主干路	51.20113845
62	10县区	1乡	快速路	90.00669477
63	科技县	1乡	支路	20.82207542
64	科技县	1乡	主干路	67.91821825
65	09县区	3乡	快速路	82.46675898
66	10县区	4乡	主干路	79.67481674
67	科技县	2乡	支路	29.52818415
68	09县区	1乡	次干路	31.88934958
69	10县区	2乡	主干路	64.55144114
70	11县区	2乡	支路	22.51424695
71	10县区	3乡	快速路	99.78608368
72	09县区	4乡	主干路	76.32479107
73	科技县	1乡	次干路	32.63132919
74	科技县	4乡	支路	24.68927839
75	科技县	2乡	主干路	56.06591868
76	科技县	1乡	主干路	50.36707126
77	科技县	1乡	快速路	96.09470027
78	11县区	3乡	快速路	103.5459493
79	11县区	2乡	主干路	63.95020427
80	09县区	4乡	次干路	40.53335324
81	科技县	3乡	主干路	50.03900997
82	11县区	2乡	主干路	73.42513547
83	10县区	2乡	快速路	92.88571283
84	09县区	3乡	次干路	37.92588311
85	科技县	4乡	主干路	69.889976
86	科技县	1乡	快速路	107.6930763
87	11县区	3乡	主干路	56.3641096
88	11县区	2乡	主干路	50.63250093
89	10县区	2乡	主干路	70.08509245
90	09县区	4乡	支路	28.39671074
91	科技县	4乡	次干路	40.39949578
92	10县区	3乡	主干路	70.28068908
93	11县区	4乡	主干路	77.38076542
94	科技县	4乡	主干路	68.47536015
95	10县区	1乡	主干路	67.22586428
96	科技县	1乡	快速路	112.5727068
97	10县区	3乡	主干路	60.21013857
98	10县区	4乡	次干路	45.39641948
99	09县区	4乡	快速路	101.6268277
100	科技县	4乡	快速路	103.7150992
101	科技县	3乡	主干路	73.04483141
102	09县区	2乡	支路	25.29829748
103	10县区	2乡	支路	21.35257856
104	09县区	4乡	支路	28.63081751
105	科技县	1乡	支路	23.50419208
106	09县区	4乡	次干路	43.79058227
107	09县区	3乡	次干路	49.64093375
108	科技县	1乡	支路	23.01171498
109	10县区	4乡	支路	28.89708897
110	09县区	4乡	快速路	85.49332939
111	09县区	1乡	支路	25.00095859
112	10县区	4乡	主干路	53.56864255
113	11县区	1乡	主干路	55.35563381
114	09县区	2乡	快速路	106.9903092
115	09县区	3乡	主干路	73.26317893
116	10县区	3乡	次干路	45.74894156
117	科技县	4乡	主干路	64.71290874
118	10县区	3乡	次干路	42.41334628
119	10县区	2乡	快速路	117.8298559
120	10县区	4乡	次干路	49.00659949
121	科技县	4乡	次干路	45.41392898
122	09县区	2乡	支路	21.50801415
123	09县区	1乡	快速路	118.4435598
124	09县区	1乡	主干路	68.35425118
125	11县区	4乡	主干路	78.13604533
126	科技县	3乡	主干路	70.08933934
127	10县区	3乡	支路	21.39140688
128	11县区	3乡	支路	23.39344201
129	科技县	4乡	支路	28.8260031
130	科技县	2乡	主干路	68.37684117
131	11县区	1乡	快速路	94.1320881
132	10县区	2乡	次干路	37.2681431
133	10县区	2乡	支路	20.05021852
134	09县区	1乡	快速路	87.16935536
135	10县区	3乡	主干路	52.9086322
136	11县区	2乡	快速路	111.5283162
137	科技县	1乡	次干路	42.47715503
138	10县区	4乡	主干路	56.02363837
139	10县区	1乡	快速路	101.6266965
140	11县区	3乡	主干路	76.19233698
141	10县区	4乡	快速路	111.9251314
142	10县区	1乡	快速路	80.99091
143	11县区	2乡	支路	29.73867799
144	11县区	3乡	快速路	85.7418644
145	科技县	3乡	主干路	77.7554975
146	11县区	4乡	次干路	43.10904255
147	科技县	3乡	快速路	99.91820386
148	10县区	3乡	支路	23.45190634
149	11县区	3乡	主干路	58.41856726
150	科技县	1乡	支路	24.86941901
151	09县区	2乡	支路	21.20664668
152	09县区	3乡	快速路	82.54147463
153	10县区	2乡	主干路	72.61629391
154	09县区	2乡	支路	25.46719611
155	09县区	1乡	主干路	64.49960486
156	11县区	4乡	次干路	49.18309137
157	10县区	4乡	支路	26.76052171
158	10县区	2乡	次干路	40.18034915
159	科技县	1乡	次干路	39.81909912
160	10县区	4乡	快速路	111.4775038
161	10县区	1乡	次干路	42.12876216
162	10县区	1乡	支路	28.28837835
163	11县区	4乡	支路	24.12102644
164	09县区	4乡	主干路	72.33616953
165	10县区	4乡	支路	28.92899767
166	09县区	4乡	支路	20.66852551
167	科技县	3乡	快速路	99.25499859
168	11县区	3乡	主干路	63.89462625
169	09县区	3乡	快速路	111.7730797
170	科技县	1乡	次干路	44.0791944
171	09县区	3乡	快速路	118.2333913
172	09县区	3乡	支路	24.76164368
173	11县区	3乡	次干路	37.77282328
174	09县区	1乡	支路	26.2485938
175	09县区	3乡	次干路	35.6460812
176	10县区	3乡	支路	24.97096662
177	11县区	2乡	支路	22.40383555
178	09县区	2乡	主干路	79.43104919
179	11县区	4乡	快速路	112.0012387
180	10县区	2乡	主干路	76.74426795
181	科技县	3乡	主干路	50.58739948
182	11县区	1乡	支路	21.84541695
183	科技县	4乡	支路	21.79130374
184	科技县	2乡	支路	22.38082442
185	科技县	1乡	支路	27.28321657
186	科技县	4乡	支路	21.11950436
187	科技县	1乡	次干路	41.25449093
188	09县区	2乡	支路	21.98736498
189	10县区	2乡	支路	26.73736645
190	11县区	1乡	支路	28.9265053
191	10县区	2乡	快速路	89.56709964
192	09县区	2乡	快速路	98.6839257
193	科技县	4乡	支路	20.59428577
194	科技县	3乡	支路	26.64984024
195	10县区	1乡	快速路	112.3620898
196	10县区	1乡	次干路	31.3163974
197	10县区	2乡	支路	23.46458743
198	科技县	3乡	支路	27.61846418
199	科技县	1乡	次干路	34.24996874
200	09县区	3乡	次干路	33.32082403
201	09县区	1乡	支路	24.31881341
202	11县区	3乡	主干路	76.93041634
203	10县区	3乡	次干路	44.8617416
204	09县区	1乡	快速路	86.41951987
205	09县区	3乡	次干路	44.1088334
206	09县区	3乡	支路	24.27014903
207	09县区	3乡	支路	27.11570931
208	09县区	1乡	快速路	92.66121234
209	10县区	2乡	次干路	31.05978354
210	科技县	4乡	主干路	74.51784231
211	科技县	1乡	快速路	93.55818083
212	09县区	3乡	主干路	75.79834309
213	11县区	3乡	快速路	115.4888881
214	09县区	1乡	快速路	113.2918772
215	09县区	4乡	主干路	65.98232295
216	09县区	1乡	支路	21.62474628
217	09县区	1乡	支路	23.02827208
218	11县区	4乡	主干路	61.76350702
219	10县区	1乡	次干路	38.05077946
220	09县区	4乡	主干路	65.72010525
221	科技县	3乡	快速路	91.89147485
222	科技县	2乡	支路	29.28363243
223	11县区	4乡	支路	24.89286996
