0,1,2,3,4,5,6,7,8,9,10,11,12
1562.53,1570.52,1561.2,1569.33,467488200,-0.1453,5.2135,1571.3995,0.0007,35.3594,1570.166,-1.0066,29.7428
1569.29,1572.09,1568.9,1570.63,241442200,-0.0402,11.9337,1571.2811,0.0009,50.5312,1570.034,-0.9934,44.7315
1570.33,1570.6,1566.22,1568.61,205126300,-0.1418,9.596,1570.8702,0.0009,56.142,1569.872,-1.1329,32.0014
1568.56,1573.66,1567.86,1572.45,177429400,0.1049,19.4868,1571.1132,0.0015,67.5243,1570.282,-0.9229,58.7688
1572.56,1574.16,1571.15,1574.16,148814400,0.2057,19.1398,1571.582,0.0015,78.3496,1571.036,-0.6115,65.9346
1574.21,1576.31,1574.07,1574.71,138675600,0.2265,26.3539,1572.0632,0.0013,82.0367,1572.112,-0.3167,68.0761
1574.7,1578.26,1574.62,1578.09,130928800,0.4013,30.4278,1572.9904,0.0015,87.6923,1573.604,0.1875,78.1878
1578.31,1578.86,1576.39,1576.98,131586600,0.3037,29.7841,1573.6042,0.0013,88.2464,1575.278,0.4919,69.5112
1576.97,1577.03,1575.59,1575.91,107256700,0.2111,27.8209,1573.9589,0.0012,86.5961,1575.97,0.6394,61.6033
1575.7,1575.7,1570.17,1570.17,124972900,-0.1579,21.3488,1573.376,0.0021,68.1474,1575.172,0.2898,35.5607
1569.99,1572.02,1569.32,1572.02,137232600,-0.0488,18.9554,1573.1674,0.0022,60.727,1574.634,0.1602,44.6161
1572.05,1573.74,1572.05,1573.4,100317800,0.023,25.1254,1573.2032,0.0019,57.2725,1573.696,0.1668,50.8043
1573.21,1574.06,1572.35,1573.28,104178100,-0.0056,24.6104,1573.215,0.0019,52.0182,1572.956,0.1606,50.2188
1573.19,1573.86,1571.22,1571.22,98475900,-0.1396,21.5299,1572.9081,0.002,41.3175,1572.018,-0.0104,40.5838
1571.25,1571.25,1569.19,1569.19,127483200,-0.2717,19.3494,1572.3361,0.0012,27.545,1571.822,-0.3063,33.0788
1569.55,1571.66,1568.36,1571.44,101340400,-0.1234,16.2982,1572.1982,0.0012,28.1411,1571.706,-0.355,46.2894
1571.39,1571.78,1569.66,1570.1,76047500,-0.1871,15.1849,1571.8754,0.0012,25.4505,1571.046,-0.4961,40.5664
1570.1,1571.7,1569.75,1569.85,82469400,-0.1773,13.6669,1571.5638,0.0011,23.7336,1570.36,-0.6209,39.4737
1569.72,1571.41,1569.28,1571.41,95121900,-0.0427,12.1376,1571.5401,0.0012,33.6586,1570.398,-0.5872,49.6321
1571.49,1572.28,1570.68,1571,75225800,-0.0371,15.8719,1571.457,0.0009,37.8777,1570.76,-0.5868,47.1371
1570.9,1571.06,1569.32,1569.61,56307300,-0.0921,14.2869,1571.1729,0.0008,32.5617,1570.394,-0.6907,39.1335
1568.69,1571.24,1568.69,1570.64,61183700,-0.0291,12.2229,1571.0909,0.0008,35.526,1570.502,-0.682,47.1177
1570.65,1572.2,1570.65,1572.2,55052200,0.0693,16.7866,1571.2615,0.0008,56.3371,1570.972,-0.543,57.2983
1571.97,1572.54,1571.56,1572.34,39506800,0.0838,17.9122,1571.4275,0.0007,69.2965,1571.158,-0.4168,58.1656
1572.36,1572.78,1571.1,1572.61,70204400,0.1046,15.9313,1571.6094,0.0007,78.1455,1571.48,-0.2916,60.0437
1572.69,1572.69,1570.91,1571.28,57635500,0.0196,14.034,1571.5587,0.0007,73.2054,1571.814,-0.2963,47.4511
1571.43,1571.66,1570.17,1570.97,60823100,-0.0096,12.5862,1571.4681,0.0007,67.3855,1571.88,-0.3213,44.8219
1570.74,1571.09,1569.78,1570,63018400,-0.0637,11.3937,1571.2423,0.0004,55.6001,1571.44,-0.4146,37.1026
1570.27,1570.8,1569.98,1570.48,57493300,-0.0352,10.664,1571.125,0.0005,51.6552,1571.068,-0.4447,42.9382
1570.68,1571.12,1569.9,1570.68,63129800,-0.0268,12.2059,1571.0565,0.0005,50.6552,1570.682,-0.4472,45.4679
