道路编号	县区	乡	道路等级	速度
1	09县区	3乡	支路	25.048259
2	科技县	4乡	快速路	111.4193747
3	10县区	3乡	支路	26.40830448
4	11县区	1乡	支路	24.64089355
5	11县区	3乡	主干路	52.7194641
6	09县区	1乡	主干路	65.58273879
7	09县区	1乡	次干路	41.65270832
8	11县区	2乡	快速路	82.72128737
9	09县区	1乡	次干路	41.87642901
10	科技县	2乡	主干路	70.45484179
11	科技县	3乡	次干路	31.05241072
12	科技县	1乡	主干路	71.53018806
13	11县区	1乡	主干路	59.92623635
14	09县区	1乡	支路	24.68457086
15	09县区	1乡	支路	28.27974451
16	11县区	2乡	快速路	86.02798181
17	09县区	1乡	快速路	119.3853228
18	11县区	3乡	支路	22.51870322
19	11县区	1乡	主干路	59.81865528
20	11县区	2乡	快速路	100.1173258
21	11县区	3乡	主干路	55.14173862
22	09县区	1乡	次干路	41.56597617
23	科技县	2乡	次干路	36.54283245
24	10县区	4乡	快速路	80.70048369
25	科技县	1乡	次干路	43.52854889
26	10县区	2乡	支路	21.33105708
27	科技县	1乡	支路	25.83177705
28	10县区	1乡	次干路	44.51694402
29	09县区	2乡	支路	25.77238853
30	科技县	2乡	次干路	41.34292355
31	11县区	2乡	支路	25.43231412
32	科技县	3乡	快速路	119.494735
33	科技县	1乡	快速路	82.2203596
34	10县区	2乡	次干路	48.60967415
35	09县区	3乡	支路	26.29663558
36	09县区	3乡	次干路	40.85365915
37	09县区	2乡	主干路	79.02165311
38	10县区	2乡	快速路	117.6045658
39	10县区	2乡	次干路	31.23401431
40	科技县	1乡	支路	26.7831095
41	09县区	3乡	快速路	98.34059992
42	09县区	2乡	次干路	44.60430577
43	11县区	1乡	次干路	40.55708112
44	09县区	3乡	支路	26.01427949
45	11县区	4乡	主干路	50.83033409
46	科技县	2乡	支路	25.59899126
47	11县区	2乡	次干路	41.75362496
48	科技县	1乡	快速路	93.69365163
49	11县区	2乡	主干路	69.73426531
50	11县区	1乡	快速路	95.34220155
51	09县区	3乡	快速路	82.42694873
52	科技县	3乡	主干路	73.99096017
53	科技县	4乡	次干路	49.31271201
54	科技县	4乡	快速路	119.173338
55	10县区	4乡	主干路	59.85975385
56	11县区	4乡	支路	21.80186824
57	09县区	4乡	快速路	113.0009654
58	09县区	4乡	支路	23.09399576
59	10县区	3乡	快速路	97.30379143
60	科技县	3乡	主干路	73.39290885
61	11县区	3乡	快速路	105.7598817
62	科技县	4乡	主干路	68.71794914
63	科技县	4乡	主干路	57.38926741
64	10县区	1乡	支路	22.4431113
65	09县区	4乡	次干路	47.35466271
66	11县区	3乡	支路	23.01703462
67	09县区	1乡	支路	28.02456021
68	09县区	3乡	快速路	87.81051224
69	10县区	2乡	主干路	56.36498435
70	09县区	4乡	主干路	57.54795074
71	09县区	1乡	主干路	56.29299012
72	11县区	3乡	次干路	32.19222085
73	11县区	4乡	支路	26.5784776
74	10县区	3乡	次干路	32.5335027
75	10县区	1乡	主干路	72.88314854
76	11县区	4乡	快速路	84.77430848
77	09县区	1乡	次干路	31.85907012
78	11县区	1乡	快速路	88.06609263
79	11县区	4乡	支路	23.44708098
80	10县区	3乡	主干路	77.59254034
81	11县区	2乡	次干路	31.76456734
82	11县区	4乡	快速路	112.9394834
83	10县区	4乡	次干路	33.87882533
84	11县区	3乡	快速路	103.9479275
85	10县区	1乡	快速路	97.54602974
86	09县区	2乡	快速路	92.75073432
87	11县区	3乡	快速路	106.3175748
88	10县区	2乡	次干路	40.07271759
89	11县区	4乡	主干路	64.5882427
90	10县区	2乡	次干路	42.52979401
91	09县区	3乡	次干路	33.13846148
92	11县区	4乡	快速路	111.9817208
93	11县区	3乡	主干路	61.79291961
94	09县区	4乡	次干路	37.54552838
95	10县区	3乡	快速路	91.69684702
96	09县区	1乡	次干路	35.36819319
97	11县区	3乡	快速路	102.5624698
98	科技县	3乡	快速路	85.22731532
99	09县区	3乡	主干路	77.70081075
100	10县区	4乡	支路	23.54280002
101	09县区	1乡	支路	26.04897584
102	10县区	1乡	次干路	44.98539074
103	11县区	3乡	次干路	32.69068141
104	11县区	1乡	支路	23.04592621
105	10县区	4乡	快速路	115.9746306
106	11县区	1乡	快速路	108.2780977
107	科技县	4乡	次干路	49.54542365
108	09县区	3乡	次干路	49.58227215
109	09县区	3乡	次干路	31.99165067
110	科技县	1乡	支路	23.75594988
111	11县区	1乡	主干路	78.14806616
112	11县区	2乡	次干路	39.56880456
113	09县区	3乡	快速路	106.4066263
114	11县区	4乡	次干路	42.49661616
115	09县区	3乡	支路	20.75077485
116	科技县	1乡	主干路	70.219491
117	11县区	1乡	主干路	59.23385423
118	09县区	1乡	支路	27.16572555
119	10县区	4乡	主干路	58.68195566
120	11县区	2乡	支路	23.65763098
121	10县区	2乡	主干路	78.33931863
122	科技县	2乡	主干路	72.57314994
123	10县区	2乡	支路	24.61256779
124	10县区	1乡	主干路	73.00382244
125	科技县	2乡	主干路	51.62030225
126	科技县	4乡	支路	27.1570353
127	科技县	4乡	快速路	104.8912118
128	科技县	3乡	支路	28.43011925
129	10县区	3乡	支路	28.3835275
130	10县区	2乡	次干路	49.03281075
131	10县区	3乡	次干路	38.0877748
132	10县区	3乡	主干路	64.4017976
133	10县区	2乡	支路	25.872799
134	11县区	3乡	支路	23.23774644
135	09县区	2乡	主干路	73.94165483
136	09县区	1乡	支路	24.82349273
137	09县区	3乡	快速路	99.81585604
138	09县区	1乡	主干路	76.83330412
139	10县区	4乡	快速路	100.9391388
140	科技县	2乡	主干路	51.59317813
141	科技县	2乡	次干路	39.86421905
142	09县区	2乡	支路	27.09726901
143	11县区	4乡	快速路	96.72444126
144	科技县	3乡	主干路	61.17967906
145	科技县	4乡	主干路	62.56176636
146	09县区	3乡	快速路	119.5284439
147	09县区	1乡	快速路	83.47471806
148	科技县	2乡	快速路	106.3300541
149	09县区	4乡	快速路	91.93663929
150	11县区	4乡	次干路	38.29322697
151	09县区	4乡	快速路	99.16167334
152	09县区	4乡	支路	29.51972063
153	11县区	2乡	快速路	119.7800135
154	科技县	4乡	次干路	32.47359884
155	科技县	2乡	次干路	38.15484731
156	科技县	3乡	主干路	74.04903543
157	10县区	1乡	次干路	38.30212768
158	科技县	1乡	次干路	30.41785893
159	09县区	4乡	次干路	48.28022359
