道路编号	县区	道路等级	速度
1	11县区	主干路	51.9413573
2	10县区	主干路	60.4250073
3	11县区	次干路	49.2673442
4	科技县	支路	27.31657529
5	科技县	主干路	66.95318079
6	09县区	快速路	113.4177832
7	11县区	主干路	76.96179107
8	10县区	快速路	109.8556489
9	科技县	主干路	75.92974489
10	10县区	主干路	62.50040497
11	09县区	主干路	70.91937622
12	科技县	主干路	67.77322148
13	10县区	次干路	34.40276444
14	11县区	主干路	71.80785903
15	09县区	次干路	43.93005902
16	10县区	次干路	45.50689614
17	10县区	主干路	70.74856667
18	11县区	主干路	60.91247356
19	科技县	次干路	35.32440853
20	09县区	次干路	36.65564456
21	科技县	次干路	44.44526123
22	09县区	主干路	59.58195703
23	09县区	主干路	54.89990749
24	科技县	主干路	74.97832959
25	11县区	主干路	60.85815817
26	科技县	主干路	63.48977031
27	科技县	支路	23.27126657
28	09县区	支路	23.9715332
29	10县区	次干路	38.93987386
30	09县区	次干路	35.19905868
31	科技县	次干路	38.31322417
32	11县区	次干路	36.94317305
33	科技县	快速路	115.2710107
34	科技县	次干路	47.41586364
35	11县区	支路	26.83070825
36	11县区	支路	20.64194979
37	09县区	支路	29.29888146
38	09县区	支路	20.12495092
39	11县区	快速路	90.15124107
40	09县区	主干路	51.29988513
41	11县区	次干路	30.6053574
42	10县区	快速路	92.01025895
43	10县区	快速路	83.28169148
44	科技县	支路	27.61611266
45	科技县	主干路	59.15345829
46	科技县	快速路	91.40008135
47	科技县	快速路	89.70644087
48	科技县	主干路	71.65988637
49	09县区	主干路	70.12684043
50	11县区	支路	23.81617427
51	10县区	次干路	41.24787019
52	10县区	快速路	105.5288627
53	11县区	快速路	108.2225658
54	11县区	主干路	61.41978444
55	11县区	次干路	40.24379608
56	10县区	主干路	72.91525799
57	科技县	快速路	83.98339107
58	10县区	快速路	91.81160271
59	10县区	快速路	82.15215485
60	科技县	支路	28.23528855
61	10县区	次干路	48.2235062
62	09县区	主干路	66.64517772
63	09县区	次干路	42.43473234
64	11县区	支路	23.99330346
65	09县区	快速路	118.7398429
66	10县区	主干路	65.64270085
67	10县区	次干路	37.74223342
68	10县区	快速路	97.48054173
69	09县区	支路	29.76809588
70	科技县	主干路	79.67093893
71	10县区	主干路	57.80846769
72	科技县	主干路	65.42712623
73	10县区	次干路	45.97014098
74	10县区	支路	25.78884128
75	11县区	支路	23.1182931
76	科技县	快速路	100.3227148
77	科技县	次干路	41.40904302
78	11县区	快速路	90.47841646
79	科技县	主干路	73.23801039
80	科技县	次干路	48.52867772
81	10县区	快速路	88.61698507
82	10县区	主干路	66.67793706
83	11县区	主干路	55.49444571
84	10县区	次干路	39.49451671
85	10县区	次干路	42.5923278
86	10县区	次干路	44.83828898
87	09县区	主干路	52.5707189
88	10县区	主干路	64.70699976
89	10县区	主干路	74.66516831
90	09县区	支路	26.06072742
91	11县区	次干路	33.49701911
92	科技县	次干路	44.62064607
93	11县区	主干路	73.68703641
94	10县区	快速路	91.57459177
95	10县区	次干路	45.07267304
96	科技县	快速路	95.87549276
97	10县区	快速路	106.0959233
98	10县区	主干路	50.64155721
99	09县区	次干路	39.87846373
100	科技县	主干路	64.61359619
101	科技县	快速路	97.91721544
102	11县区	支路	21.74323628
103	科技县	主干路	64.42474866
104	11县区	快速路	99.26753874
105	09县区	主干路	73.68682377
106	10县区	快速路	98.30823731
107	10县区	次干路	37.04350632
108	科技县	主干路	69.97109915
109	科技县	次干路	46.95670335
110	科技县	次干路	30.07147896
111	10县区	支路	23.21289062
112	科技县	支路	28.12668922
113	09县区	主干路	73.84896214
114	11县区	支路	21.33139648
115	09县区	次干路	45.08564092
116	科技县	次干路	47.53148459
117	11县区	次干路	47.55975601
118	科技县	支路	24.57723752
119	11县区	主干路	68.7444683
120	11县区	支路	20.45837825
121	11县区	快速路	102.4210336
122	11县区	快速路	90.59515064
123	11县区	主干路	70.99315665
124	10县区	次干路	30.11686532
125	11县区	次干路	38.06197405
126	10县区	支路	21.39515614
127	科技县	次干路	39.43663552
128	10县区	次干路	45.35106172
129	科技县	支路	26.5367118
130	科技县	快速路	111.1051746
131	11县区	支路	26.966644
132	11县区	主干路	56.02769187
133	09县区	快速路	108.1840125
134	10县区	主干路	62.36743743
135	09县区	快速路	114.1547489
136	10县区	快速路	81.08317482
137	科技县	快速路	108.4075644
138	09县区	主干路	66.40603707
139	09县区	支路	21.20447422
140	科技县	支路	22.86740123
141	09县区	支路	24.18346388
142	科技县	次干路	41.76764166
143	11县区	主干路	53.22761035
144	10县区	支路	23.22441306
145	科技县	次干路	41.41413201
146	11县区	次干路	41.06743269
147	科技县	主干路	55.36138116
148	11县区	主干路	55.75950076
149	09县区	次干路	42.65095569
150	10县区	主干路	59.68284696
151	科技县	支路	24.95677256
152	科技县	次干路	42.2538233
153	11县区	支路	29.21456962
154	09县区	支路	25.02886863
155	10县区	快速路	96.0205643
156	10县区	快速路	88.09917732
157	科技县	主干路	74.47333535
158	11县区	支路	20.81132249
159	09县区	次干路	39.10956124
160	11县区	快速路	119.8735921
161	10县区	次干路	30.5359487
162	11县区	支路	22.88686863
163	11县区	快速路	93.95849295
164	11县区	支路	27.15787337
165	09县区	次干路	49.19779091
166	09县区	主干路	78.09290118
167	09县区	支路	28.44829749
168	10县区	主干路	77.10551425
169	科技县	主干路	58.82339731
170	科技县	主干路	60.14271721
171	10县区	快速路	84.89684415
172	10县区	快速路	95.6098928
173	科技县	支路	24.43176764
174	10县区	主干路	55.26579822
175	11县区	快速路	91.33437304
176	10县区	支路	29.26841029
177	科技县	主干路	75.96472744
178	09县区	支路	22.63587657
179	09县区	支路	21.9517416
180	10县区	次干路	35.79779324
181	科技县	次干路	44.05643576
182	10县区	主干路	69.79988932
183	10县区	快速路	96.36065744
184	科技县	支路	26.83683995
185	09县区	次干路	31.71192599
186	09县区	支路	24.74394928
187	10县区	主干路	52.30429549
188	10县区	次干路	41.7067498
189	科技县	主干路	67.14973534
190	科技县	次干路	36.72128941
191	09县区	次干路	32.35550697
192	09县区	次干路	48.97346639
193	11县区	支路	23.6762036
194	09县区	主干路	61.23544856
195	科技县	支路	24.99314837
196	科技县	主干路	56.40467537
197	11县区	主干路	65.88652382
198	科技县	支路	25.39376034
199	科技县	快速路	97.81976021
200	科技县	支路	20.79515702
201	09县区	快速路	105.7854858
202	09县区	快速路	87.76503005
203	10县区	次干路	32.09375022
204	09县区	快速路	93.54243672
205	10县区	次干路	34.82988384
206	科技县	支路	29.12383848
207	11县区	次干路	33.55459467
208	科技县	主干路	79.97455267
209	科技县	快速路	109.7923086
210	科技县	主干路	66.41457477
211	10县区	次干路	40.64318276
212	10县区	快速路	105.8506281
213	10县区	支路	23.5877769
214	科技县	次干路	48.90604849
215	10县区	主干路	77.41333068
216	科技县	支路	23.94775776
217	11县区	快速路	117.2856495
218	科技县	次干路	38.04307592
219	科技县	快速路	93.74003123
220	科技县	支路	25.66286889
221	11县区	次干路	38.44044306
222	11县区	次干路	41.84096331
223	11县区	主干路	57.33797389
224	10县区	支路	25.12746321
225	09县区	快速路	117.0007292
226	10县区	快速路	116.6154092
227	11县区	支路	21.00074946
228	10县区	快速路	81.20761973
229	10县区	快速路	81.72343751
230	11县区	快速路	90.33930163
231	11县区	主干路	72.12772849
232	11县区	主干路	64.22215928
233	科技县	主干路	68.96857765
234	11县区	快速路	107.5620954
235	10县区	主干路	75.55662256
236	10县区	主干路	54.91457627
237	09县区	快速路	114.1515186
238	10县区	次干路	47.38234319
239	科技县	主干路	70.10017875
240	10县区	次干路	33.45588565
241	09县区	支路	27.47989186
242	科技县	主干路	70.68314018
243	10县区	支路	20.32640057
244	09县区	快速路	115.6494491
245	11县区	次干路	42.13437705
246	09县区	主干路	64.36079231
247	科技县	支路	23.10966026
248	11县区	支路	26.04708606
249	10县区	主干路	79.13762659
250	09县区	快速路	81.25818929
251	10县区	主干路	51.85083271
252	09县区	主干路	53.5978441
253	09县区	主干路	54.18771347
254	11县区	快速路	98.98764052
255	科技县	主干路	62.21580557
256	11县区	快速路	114.0095506
257	科技县	支路	25.0695555
258	10县区	快速路	104.591888
259	10县区	支路	28.30642177
260	科技县	快速路	104.4349387
261	11县区	快速路	91.09283477
262	11县区	快速路	108.468905
263	10县区	支路	28.77499804
264	09县区	支路	22.81304023
265	10县区	支路	26.51993921
266	科技县	快速路	93.989478
267	09县区	支路	23.47297192
268	11县区	次干路	35.45822041
269	11县区	主干路	54.16509221
270	09县区	主干路	65.01084008
271	11县区	快速路	118.6527007
272	11县区	支路	23.37559976
273	科技县	支路	24.6402575
274	11县区	次干路	49.32607677
275	09县区	次干路	47.37474543
276	11县区	次干路	43.93974907
277	09县区	快速路	111.27317
278	科技县	次干路	40.54182573
279	科技县	主干路	70.44036955
280	科技县	支路	20.43419707
281	11县区	主干路	65.00618184
282	10县区	快速路	95.55498072
283	09县区	快速路	99.09141409
284	11县区	主干路	72.09997122
285	10县区	支路	27.3618398
286	11县区	主干路	68.68010051
287	09县区	快速路	112.8385833
288	10县区	主干路	68.98348977
289	10县区	快速路	113.7459445
290	10县区	支路	25.75704871
291	09县区	主干路	72.34756696
292	10县区	支路	27.62695037
293	10县区	支路	21.73807601
294	科技县	次干路	41.75994903
295	11县区	支路	28.82637363
296	科技县	快速路	81.94915966
297	10县区	主干路	51.64857571
298	11县区	快速路	88.09599381
299	10县区	快速路	118.7976804
300	10县区	支路	28.22794411
301	10县区	支路	24.60118524
302	09县区	主干路	62.84022346
303	09县区	次干路	40.79358532
304	10县区	支路	20.14767047
305	科技县	次干路	30.11134411
306	科技县	次干路	39.86026139
307	科技县	快速路	85.7442229
308	11县区	支路	24.47146899
309	09县区	次干路	39.86686755
310	09县区	支路	23.29543692
311	科技县	快速路	100.3249318
312	10县区	支路	24.77643995
313	09县区	次干路	38.97396894
314	科技县	支路	23.56802745
315	10县区	主干路	72.24745321
316	11县区	快速路	116.9778174
317	11县区	快速路	111.4353313
318	11县区	支路	28.98659152
319	11县区	主干路	60.27711453
320	11县区	次干路	49.76476514
